release,dataSet,met/statusYear,domain/modelVersion,dataSource,dataDestination,diskSize,md5sum
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201108.tar.bz2,,1264489494,93ee5c9c7c37a8157ae124bf4a94c0e3
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201109.tar.bz2,,1221014788,1c2b07df9976cdaae3bd7bf9723f1d0e
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201110.tar.bz2,,1292921117,13d2fe37754dc04e378740a14c63c9d0
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201111.tar.bz2,,1235675263,8968bc3faaecaec62c116569d4fb8c4f
201309,meteo,2011,,{FTP}/{REL}/input_data_2011/meteo/meteo201112.tar.bz2,,1307253526,b5e41560631e5f219c20f6e0ea424c28
201309,input,2011,rv4_4,{FTP}/{REL}/input_data_2011/other_input_files.tar.bz2,,219271420,1435100b24df29e08fef85befa191295
201309,source,2013,rv4_4,{GIT}/archive/{MOD}.tar.gz,,520241,6be2f10f279891be91e2fe7ede067cb1
201309,output,2011,rv4_4,{FTP}/{REL}/model_results_rv4_4_2010/Base_model_rv4_4_results.tar.bz2,,4757213120,67a1f67ad2f749c46c47ac03340452a3
201309,output,2011,rv4_4,{FTP}/{REL}/model_results_rv4_4_2011/Base_model_rv4_4_results.tar.bz2,,4701651306,789ded8312204632f41262311db19b50
201309,docs,,rv4_4,{GIT}/releases/download/{MOD}/User_Guide.pdf,,412843,87b50f26d8c5100a6b3c6bd868d22d47
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201201.tar.bz2,,1840549524,77d79316165b208b8020df7a2a90af1a
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201202.tar.bz2,,1713122982,35f6408a7244d9154b68781d08b771b6
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201203.tar.bz2,,1814348555,d18917be84ef5758f7b713b2f1ebf0d3
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201204.tar.bz2,,1783622739,b87a80dfb87c889ba27c420dd3a5a2f2
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201205.tar.bz2,,1848039130,959ae7576d82c5a2514868ae28f56d76
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201206.tar.bz2,,1784115981,c6295f5913711e9163aeda1f1749ebb6
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201207.tar.bz2,,1831830820,82522add8dfb4bde9d018bfefa92932d
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201208.tar.bz2,,1835564374,fd8520e5c5f182763910415ca4c9fc57
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201209.tar.bz2,,1769079201,ff809a5dc864c58fc9f9e98dd07f5e42
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201210.tar.bz2,,1855128773,addf86c9f0c13764a12bc7e9e8f5fc04
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201211.tar.bz2,,1812842542,f338909aad97bfc035212cbd50307b1a
201409,meteo,2012,,{FTP}/{REL}/input_data_2012/meteo/meteo201212.tar.bz2,,1923131496,3fa7aedac1ac00851cea7074582b5803
201409,input,2012,rv4_5,{FTP}/{REL}/input_data_2012/other_input_files.tar.bz2,,1770241933,3b9d8dd904efda5134edb641298c2d91
201409,source,2014,rv4_5,{GIT}/archive/{MOD}.tar.gz,,557098,78805438edb3e6e4edcdcc8238e4c0eb
201409,output,2012,rv4_5,{FTP}/{REL}/model_results_rv4_5_2012/Base_model_rv4_5_results.tar.bz2,,3910714271,fcb25933f82aec9322fd3d3a28ba8f0e
201409,docs,,rv4_5,{GIT}/releases/download/{MOD}/User_Guide.pdf,,353944,c7178d351118dd60fd1f6e03597b12f7
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201301.tar.bz2,,1979319540,3525282486ea9ea4faec1411dc42e34f
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201302.tar.bz2,,1719554645,7ded3ded2f1caa0279e79ea7fbb33660
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201303.tar.bz2,,1908751855,e7c155058b7990aa1144fc3c4d0ecdb8
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201304.tar.bz2,,1843225885,8c3da24518af1258477f65c3bbccb4db
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201305.tar.bz2,,1918475889,7f476d2387836baa45c413f3acb1fdc5
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201306.tar.bz2,,1837409688,39fab85bb88e26429248f51c969c2929
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201307.tar.bz2,,1886157773,74de1dd35db73c89d2eb0ca72dbc305d
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201308.tar.bz2,,1900898947,945eebf06734806ee9b1770dcd740528
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201309.tar.bz2,,1854184648,555704bc561fef25dfd4b15ee82af5cb
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201310.tar.bz2,,1914868306,aacdf5bf9c23fc431e8e7aca662485fe
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201311.tar.bz2,,1868202503,cc65db603f7556b6bf332507bc06ce7d
201510,meteo,2013,,{FTP}/{REL}/input_data/meteo/meteo201312.tar.bz2,,1993915801,a327bcb8ea7760b94d8156f28943c20a
201510,input,2013,rv4_8,{FTP}/{REL}/input_data/other_input_files.tar.bz2,,2184552411,5c68e82bb2e5bc86f19d732678b51350
201510,source,2015,rv4_8,{GIT}/archive/{MOD}.tar.gz,,947315,2169d7925aa2780a410cd369934a631c
201510,output,2013,rv4_8,{FTP}/{REL}/model_results_rv4_8_2013/Base_model_rv4_8_results_NoFF.tar.bz2,,3122049884,1ed3b6413853132509abfcb16d75fe88
201510,output,2013,rv4_8,{FTP}/{REL}/model_results_rv4_8_2013/Base_model_rv4_8_results_withFF.tar.bz2,,3122061808,164d458b85e162efd2e4dc0bc61082a2
201510,output,2013,rv4_8,{FTP}/{REL}/model_results_rv4_8_2013/README,,226,e4301f9b708fe448162962bb23f37baf
201510,docs,,rv4_8,{GIT}/releases/download/{MOD}/User_Guide.pdf,,359164,ff89ea1b9b16a909b2fa1069b1bd1c7c
201609,extra,,,{FTP}/{REL}/extra.tar.bz2,,211229,36b050fe6352d0ec89df4a6d72c54ad8
201609,input,2014,rv4_10,{FTP}/{REL}/input_data/other_input_files.tar.bz2,,2130724710,afec8b9b490e393cb2ca727de282b75b
201609,source,2016,rv4_10,{GIT}/archive/{MOD}.tar.gz,,959657,5cf6c27440b870a2a1f33bfba106489a
